City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
559,Yaring,TH,26.83,heavy intensity rain,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
567,Labuhan,ID,25.76,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
568,Mahajanga,MG,28.01,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
576,Gunjur,GM,29.04,overcast clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
580,Chiredzi,ZW,29.4,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
589,Kloulklubed,PW,28.28,light rain,7.0419,134.2556,Storyboard Beach Resort
593,Villa Florida,PY,31.32,clear sky,-26.3833,-57.15,Parador Hotel Touring y Automóvil Club Paraguayo
596,Buin,CL,28.36,clear sky,-33.7333,-70.75,Paihuen
601,Aquiraz,BR,32.05,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
602,Tabou,CI,27.5,broken clouds,4.423,-7.3528,hotêl doufoulougou
604,Cravo Norte,CO,33.65,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
606,Port Keats,AU,29.23,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
611,Puerto Madero,MX,27.64,few clouds,14.7208,-92.4215,Hospedaje madero
616,Natal,BR,31.36,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
622,Robertsport,LR,27.79,light rain,6.7533,-11.3686,Kwepunha Retreat
628,Panlaitan,PH,27.7,broken clouds,12.1191,119.8486,Panlaitan Cetro Beach
630,Touba,CI,28.9,broken clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
639,Acarau,BR,30.77,broken clouds,-2.8856,-40.12,castelo pizzaria
642,Dogondoutchi,NE,30.26,clear sky,13.6393,4.0287,Hôtel Alheri Maison Alheri
645,Salinopolis,BR,30.1,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
647,Ambilobe,MG,25.59,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
665,La Orilla,MX,29.39,scattered clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
671,Isabela,PH,25.42,very heavy rain,6.7085,121.9711,Isawad Resort
672,Champerico,GT,33.53,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
674,Guaira,BR,31.37,broken clouds,-20.3183,-48.3106,Hotel do Lago
678,Coahuayana,MX,30.69,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
680,Kupang,ID,26.59,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
683,Mmabatho,ZA,25.98,clear sky,-25.85,25.6333,Mahikeng Guest Apartments
687,Porto Novo,BJ,29.9,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
689,Paita,PE,25.31,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
690,Candido Mendes,BR,31.94,broken clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
692,Tutoia,BR,32.99,overcast clouds,-2.7619,-42.2744,Pousada Guará's
695,Kailahun,SL,25.97,broken clouds,8.2833,-10.5667,MAWAC Guesthouse
700,Novo Aripuana,BR,29.68,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
703,Nacala,MZ,26.66,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
708,Talara,PE,25.42,clear sky,-4.5772,-81.2719,Hostal Oro Negro
721,Boa Vista,BR,27.99,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
736,Jatai,BR,28.28,overcast clouds,-17.8814,-51.7144,La Vitre Hotel
