City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Guadalupe Y Calvo,MX,26.1,-106.9667,17.42,37,87,1.16,overcast clouds
315,Yulara,AU,-25.2406,130.9889,25.91,24,0,3.6,clear sky
316,Fochville,ZA,-26.4886,27.4939,21.37,60,97,5.72,overcast clouds
317,Poarta Alba,RO,44.2167,28.4,3.13,93,0,2.57,clear sky
318,Nago,JP,26.5881,127.9761,18.09,65,98,7.03,overcast clouds
319,Barabai,ID,-2.5833,115.3833,23.37,92,90,0.58,light rain
320,Salamiyah,SY,35.0113,37.0532,12.57,66,48,8.46,scattered clouds
321,Arlit,NE,18.7369,7.3853,26.2,13,82,4.61,broken clouds
322,Medianeira,BR,-25.2953,-54.0939,30.04,24,0,1.68,clear sky
323,Innisfail,AU,-17.5333,146.0333,24.82,91,8,2.1,clear sky
324,Santiago Del Estero,AR,-27.7951,-64.2615,36.26,21,0,4.94,clear sky
325,Launceston,AU,-41.45,147.1667,15.08,91,5,0.0,clear sky
326,Mosalsk,RU,54.4881,34.9817,-5.87,84,100,5.12,overcast clouds
327,Makakilo City,US,21.3469,-158.0858,24.05,79,1,2.06,light rain
328,Harper,LR,4.375,-7.7169,27.4,76,98,3.2,overcast clouds
329,Ormara,PK,25.2088,64.6357,24.39,50,0,4.18,clear sky
330,Chaadayevka,RU,53.1427,45.9122,-0.75,78,72,4.72,broken clouds
331,Porbandar,IN,21.6422,69.6093,21.98,78,100,6.05,overcast clouds
332,Norrtalje,SE,59.758,18.705,-0.55,72,92,0.62,overcast clouds
333,Mingguang,CN,32.7802,117.9638,3.12,33,0,2.04,clear sky
334,Prince Rupert,CA,54.3161,-130.3201,7.83,82,90,5.66,moderate rain
335,Inuvik,CA,68.3499,-133.7218,-30.98,68,75,0.0,light snow
336,Victor Harbor,AU,-35.5667,138.6167,18.22,83,65,2.07,broken clouds
337,Pangnirtung,CA,66.1451,-65.7125,-9.0,79,75,6.17,light snow
338,Nata,PA,8.3333,-80.5167,24.93,74,100,3.3,overcast clouds
339,Cap Malheureux,MU,-19.9842,57.6142,25.27,72,8,1.34,clear sky
340,Robstown,US,27.7903,-97.6689,25.88,63,75,0.89,broken clouds
341,Faanui,PF,-16.4833,-151.75,27.21,76,100,9.53,light rain
342,Samarai,PG,-10.6167,150.6667,28.07,83,98,5.32,overcast clouds
343,Maneadero,MX,31.7167,-116.5667,22.33,31,56,1.39,broken clouds
344,Atbasar,KZ,51.8,68.3333,-2.45,74,100,5.92,overcast clouds
345,Mondlo,ZA,-27.983,30.7177,20.56,74,45,3.74,scattered clouds
346,Shenjiamen,CN,29.9576,122.298,9.82,66,100,7.38,overcast clouds
347,La Seyne-Sur-Mer,FR,43.0982,5.8847,12.74,85,100,2.68,overcast clouds
348,Antropovo,RU,58.3988,43.0066,-5.35,91,100,3.57,overcast clouds
349,Jalu,LY,29.0331,21.5482,15.85,54,74,3.35,broken clouds
350,Plouzane,FR,48.3833,-4.6167,8.93,81,75,7.72,broken clouds
351,Ilulissat,GL,69.2167,-51.1,4.01,70,75,8.23,light intensity drizzle
352,Mehran,IR,33.1222,46.1646,20.71,34,100,8.76,overcast clouds
353,Boyolangu,ID,-8.1181,111.8935,24.53,89,100,1.28,overcast clouds
354,Moyale,KE,3.5167,39.0584,21.56,42,99,4.01,overcast clouds
355,Touros,BR,-5.1989,-35.4608,31.5,60,65,6.27,broken clouds
356,Cabo San Lucas,MX,22.8909,-109.9124,28.62,60,1,1.54,clear sky
357,Talnakh,RU,69.4865,88.3972,-29.98,97,87,2.97,overcast clouds
358,Rocha,UY,-34.4833,-54.3333,21.11,51,41,4.89,scattered clouds
359,Guarapari,BR,-20.6667,-40.4975,27.94,83,78,2.45,broken clouds
360,Bud,US,39.447,-86.1758,7.91,93,100,1.39,overcast clouds
361,Lagos,NG,6.5833,3.75,30.18,79,47,3.31,scattered clouds
362,Kaeo,NZ,-35.1,173.7833,16.29,94,100,1.17,overcast clouds
